rid,resp_employ,num_cc_nonhh,num_cc_work,num_cc,age,agecat,num_cc,weight_pooled
5fc58bc5-033a-def2-6ba3-20c7a3ea09da,Yes,2,1,4,40,"[35,45)",4,0.349000496
5fc58c74-65dd-fe86-a721-56f97cf3fcef,No,5,NA,6,28,"[25,35)",6,0.373420308
5fc58bf4-d34b-5dde-e303-204d720d5ad6,No,1,NA,2,70,"[65,100]",2,1.108873022
5fc58d1e-6231-9b30-06f7-cb893587a68b,No,1,NA,2,54,"[45,55)",2,2.742596784
5fc58b63-2fc5-da4f-3dba-4b2843a117cf,Yes,2,1,7,33,"[25,35)",7,0.559312512
5fc58e33-3e56-21ef-ae65-1a751a0d9bed,No,1,NA,2,63,"[55,65)",2,0.514582582
5fc58b5f-b53d-3108-630a-2c61e45cfc9c,No,0,NA,5,37,"[35,45)",5,0.559312512
5fc58fd3-f5cd-0e8e-a49c-9685728982f5,Yes,0,0,4,46,"[45,55)",4,1.169708171
5fc58e47-d4f9-de9a-12d9-1cc9829857c7,Yes,20,10,22,52,"[45,55)",22,1.457069873
5fc58549-5d85-4b0c-7df4-69172fe37b40,Yes,10,8,11,30,"[25,35)",11,0.952733035
5fc590f2-7b87-630f-82c9-c1a974a479a6,No,0,NA,2,66,"[65,100]",2,0.156365937
5fc59441-2049-7933-95e6-4be3512bd832,Yes,5,0,8,21,"[18,25)",8,0.334821095
5fc5962c-8465-1fa1-bbd7-f0cdcf731296,No,0,NA,1,45,"[45,55)",1,1.062921253
5fc5953d-f7bb-7db7-f200-7ef5ef9f7d36,Yes,2,0,4,56,"[55,65)",4,0.536235392
5fc597f8-b494-80f2-ec7c-eecce75bd542,No,0,NA,3,54,"[45,55)",3,1.67385447
5fc57c89-4340-85aa-0904-2ea9a7fdaee6,No,0,NA,1,67,"[65,100]",1,0.724865085
5fc59c43-013b-d117-b0f6-10cec51ef2c9,No,0,NA,2,19,"[18,25)",2,1.007107574
5fc5a8b5-f848-c618-4930-1bcd8cfe20ac,No,0,NA,0,25,"[25,35)",0,0.834882734
5fc5d1f6-7276-e560-db4f-8154b103d565,No,1,NA,4,54,"[45,55)",4,3.029693228
5fc5e0fe-bd77-06e3-f0f0-06e45e608b22,Yes,2,2,4,24,"[18,25)",4,0.924521825
5fc63038-6d8b-afca-d7ea-f88df19aad27,Yes,0,1,2,48,"[45,55)",2,1.085274041
5fc57e8c-e45f-a3f5-a84b-5443bb56ad8a,No,1,NA,1,48,"[45,55)",1,0.540614307
5fc6cc96-312d-cad5-68b6-b1850f056edd,Yes,11,29,13,35,"[35,45)",13,0.394010485
5fc6cd47-4512-2c5c-abbf-5c89e96cb86d,No,0,NA,3,21,"[18,25)",3,0.200801882
5fc6ccb9-0aa5-7371-7581-a27f908e6a33,Yes,2,2,5,50,"[45,55)",5,0.706852161
5fc6cd2d-3bf6-cf76-bcd5-876d674160d3,Yes,1,0,1,41,"[35,45)",1,2.892342308
